source_row	split	label	text
4172	test	ham	Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!
4201	validation	spam	cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost 1.50. 2 cancel send STOP
3434	train	spam	Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
1360	train	ham	If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
4547	train	ham	Never y lei... I v lazy... Got wat? Dat day u send me da url cant work one...
4604	train	ham	"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"""
984	train	spam	Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.
1979	validation	spam	Reply to win 100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
4552	train	ham	"""Hey! do u fancy meetin me at 4 at cha hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x"""
4109	train	spam	HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
4087	train	spam	Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.
2413	train	ham	Come to me right now, Ahmad
1530	test	ham	Hey what happen de. Are you alright.
2249	train	spam	Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls 1/minMobsmoreLKPOBOX177HP51FL
1907	train	ham	There're some people by mu, I'm at the table by lambda
1641	test	spam	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
1127	train	spam	For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
4500	train	spam	Latest Nokia Mobile or iPOD MP3 Player +400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.1,50/Mtmsgrcvd18+
1590	train	ham	At 4. Let's go to bill millers
2024	train	spam	U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription
4674	train	spam	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114
1121	train	spam	Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16
3454	test	ham	Ugh just got outta class
5471	train	spam	URGENT! Last weekend's draw shows that you have won 1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm
376	train	spam	Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994
4753	train	spam	Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
866	validation	ham	Dude ive been seeing a lotta corvettes lately
1803	train	ham	I wanna watch that movie
669	test	ham	This pay is &lt;DECIMAL&gt; lakhs:)
3361	train	spam	Sorry I missed your call let's talk when you have the time. I'm on 07090201529
3421	validation	spam	Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
661	validation	spam	88800 and 89034 are premium phone services call 08718711108
4135	train	spam	FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
2403	train	spam	Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
5362	train	ham	This is ur face test ( 1 2 3 4 5 6 7 8 9 &lt;#&gt; ) select any number i will tell ur face astrology.... am waiting. quick reply...
3798	train	ham	They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
4281	test	spam	URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
4494	train	ham	Probably a couple hours tops
4716	train	ham	Oops i thk i dun haf enuff... I go check then tell u..
879	train	spam	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. 1.50 SP:Tyrone
1119	validation	spam	449050000301 You have won a 2,000 price! To claim, call 09050000301.
3858	validation	ham	I'm ok. Will do my part tomorrow
2792	train	spam	Uve Bin Awarded 50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min 50-500. OptOut 08718727870
5210	validation	ham	Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !
3896	validation	spam	Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
2032	train	ham	Ugh y can't u just apologize, admit u were wrong and ask me to take u back?
2210	test	spam	URGENT!! Your 4* Costa Del Sol Holiday or 5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost1.50/pm, Max10mins
2297	train	ham	HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
4037	validation	spam	YOU ARE CHOSEN TO RECEIVE A 350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
200	train	ham	Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
940	train	spam	Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or 10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+
1575	train	spam	SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
452	train	ham	hanks lotsly!
1092	test	spam	WIN URGENT! Your mobile number has been awarded with a 2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
3922	train	spam	FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for 3/wk
118	train	spam	You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
389	test	ham	Mm that time you dont like fun
5429	test	ham	Oh yeah! And my diet just flew out the window
1673	train	ham	Glad to see your reply.
253	train	ham	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
912	test	ham	My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
1557	validation	ham	Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
790	train	spam	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, 3 per pole. UnSub 08718727870.
4769	train	spam	Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
165	train	spam	-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
2375	train	spam	XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a 2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
5052	train	ham	I will vote for wherever my heart guides me
5373	train	spam	dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
840	train	spam	We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
543	test	ham	A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'
2880	train	spam	Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX
93	test	ham	Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
1206	train	spam	WIN a year supply of CDs 4 a store of ur choice worth 500 & enter our 100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
1177	validation	ham	Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
2942	test	spam	You have 1 new message. Please call 08712400200.
1776	validation	ham	Its ok chikku, and its my 1 of favourite song..:-)
882	train	spam	Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
3130	train	ham	would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
2885	validation	ham	Anything lor is she coming?
3887	train	ham	Like a personal sized or what
3117	train	ham	I wait 4 u inside da car park...
880	train	spam	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
4579	test	spam	Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records
2851	validation	spam	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
3059	validation	ham	Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
4851	train	ham	either way works for me. I am &lt;#&gt; years old. Hope that doesnt bother you.
1319	train	spam	Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
272	test	ham	Come to mu, we're sorting out our narcotics situation
117	train	ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
161	train	spam	You are a winner U have been specially selected 2 receive 1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
3073	train	ham	Apart from the one i told you about yesterday?
4558	train	ham	Gettin rdy to ship comp
3882	train	ham	Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
5485	train	spam	URGENT We are trying to contact you Last weekends draw shows u have won a 1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
2823	train	ham	Oh god..taken the teeth?is it paining
4535	train	spam	Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
2849	train	spam	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply
5380	train	spam	The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
1195	train	spam	Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 3/wk 087016248
760	train	ham	U should have made an appointment
3190	train	spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
814	train	spam	Congratulations ur awarded either 500 of CD gift vouchers & Free entry 2 our 100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
5495	train	spam	Marvel Mobile Play the official Ultimate Spider-man game (4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
5031	train	spam	I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
199	train	ham	is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
84	test	ham	You will be in the place of that man
507	train	ham	No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
608	train	spam	XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
2145	train	ham	You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!
202	train	ham	I sent you &lt;#&gt; bucks
1731	train	ham	Lol yeah at this point I guess not
2090	train	spam	Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX 1.50
1079	train	ham	Yep, by the pretty sculpture
622	train	ham	Dear we got &lt;#&gt; dollars hi hi
4145	validation	spam	In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)
995	train	ham	The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
665	train	ham	Leave it de:-). Start Prepare for next:-)..
3419	train	ham	But i haf enuff space got like 4 mb...
3144	train	ham	Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
1104	train	ham	Black shirt n blue jeans... I thk i c u...
5549	train	ham	Ic. There are a lotta childporn cars then.
4406	test	ham	Sorry, I'll call later &lt;#&gt; mins
785	train	spam	You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
673	validation	spam	"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
3455	train	ham	Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna
1514	train	ham	Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*
4648	train	spam	We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
838	validation	spam	Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
3464	train	spam	Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
2785	train	ham	Just arrived, see you in a couple days &lt;3
5431	train	ham	You didnt complete your gist oh.
1367	train	spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
3663	train	ham	Well then you have a great weekend!
627	train	ham	Haha good to hear, I'm officially paid and on the market for an 8th
2072	test	spam	Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
804	train	spam	FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
1785	validation	ham	No dear i do have free messages without any recharge. Hi hi hi
936	test	spam	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or 1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.
2664	validation	spam	Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
4207	train	spam	IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
298	test	ham	Unless it's a situation where YOU GO GURL would be more appropriate
818	train	ham	He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up
4544	train	spam	FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
350	test	spam	Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
3398	train	spam	URGENT! Your Mobile number has been awarded with a 2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
3383	train	spam	complimentary 4 STAR Ibiza Holiday or 10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+
746	train	ham	Men like shorter ladies. Gaze up into his eyes.
5231	train	spam	PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
1919	train	ham	We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
5558	validation	ham	Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
822	train	ham	Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
1074	train	spam	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
1376	test	spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY 1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
472	train	spam	okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
3895	test	ham	Have you heard from this week?
48	train	ham	Fair enough, anything going on?
1779	train	spam	Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
2025	train	ham	Is there any movie theatre i can go to and watch unlimited movies and just pay once?
5324	validation	ham	Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
806	validation	ham	K I'll be there before 4.
5105	train	spam	This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
4548	train	ham	Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
3096	train	ham	Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
789	train	spam	Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
1046	validation	spam	We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p
256	validation	ham	I'm back, lemme know when you're ready
