split	label	text
train	spam	Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
test	ham	Oh k. . I will come tomorrow
train	ham	I'm at work. Please call
train	ham	Pls pls find out from aunt nike.
test	ham	and picking them up from various points
validation	ham	Pls she needs to dat slowly or she will vomit more.
validation	spam	Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
test	ham	Prepare to be pounded every night...
train	spam	You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
test	spam	Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
train	spam	Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth 33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
train	spam	Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16
train	spam	New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
train	ham	They said  dun haf passport or smth like dat.. Or  juz send to my email account..
train	ham	Wot is u up 2 then bitch?
train	spam	Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
train	ham	Will you be here for food
train	spam	8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
train	spam	Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
train	ham	Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.
train	ham	I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
train	spam	INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
train	ham	Sorry, I'll call later
validation	ham	Hi Petey!noim ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
validation	ham	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
train	ham	HELLO PEACH! MY CAKE TASTS LUSH!
train	ham	Hi here. have birth at on the to at 8lb 7oz. Mother and baby doing brilliantly.
train	ham	Now press conference da:)
validation	spam	Please CALL 08712402972 immediately as there is an urgent message waiting for you
train	ham	University of southern california.
train	spam	Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm
train	spam	"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!"
train	ham	Jay wants to work out first, how's 4 sound?
train	ham	I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
train	ham	Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.
validation	ham	Am only searching for good dual sim mobile pa.
validation	ham	Or I guess &lt;#&gt; min
train	spam	Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. 1.50 increments. Help08718728876
validation	spam	You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
train	spam	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply
test	spam	URGENT We are trying to contact you Last weekends draw shows u have won a 1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
train	spam	GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@1.50rcvd
train	spam	We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
test	spam	Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
validation	spam	Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
train	spam	PRIVATE! Your 2003 Account Statement for 078
test	spam	FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)
train	ham	Convey my regards to him
test	spam	Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
validation	spam	Valentines Day Special! Win over 1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
test	spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
validation	spam	You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
train	spam	U are subscribed to the best Mobile Content Service in the UK for 3 per 10 days until you send STOP to 82324. Helpline 08706091795
train	spam	UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of2000 CASH 18+only. To opt out txt X to 07786200117
train	ham	Is there any movie theatre i can go to and watch unlimited movies and just pay once?
train	ham	Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
validation	ham	Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
train	ham	Oi when you gonna ring
validation	ham	No calls..messages..missed calls
train	spam	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
train	ham	Carlos'll be here in a minute if you still need to buy
train	ham	Aiyah u did ok already lar. E nydc at wheellock?
train	ham	WHITE FUDGE OREOS ARE IN STORES
train	spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE
train	spam	Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
test	spam	FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
train	spam	For ur chance to win a 250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
train	ham	Its too late:)but its k.wish you the same.
validation	spam	Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
train	ham	U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
train	ham	Ard 530 lor. I ok then message  lor.
validation	spam	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P
test	spam	Dear Subscriber ur draw 4 100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
validation	spam	Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX 1.50
train	spam	You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
train	ham	Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
train	ham	I'm at work. Please call
train	spam	Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
test	ham	Good morning princess! Happy New Year!
validation	ham	Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.
train	spam	Marvel Mobile Play the official Ultimate Spider-man game (4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
validation	spam	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
train	spam	Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm
train	spam	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
train	ham	"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is"
test	ham	Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
validation	ham	This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
validation	ham	U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
train	ham	As in missionary hook up, doggy hook up, standing...|
train	ham	Hi where you. You in home or calicut?
validation	spam	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
train	ham	Blank is Blank. But wat is blank? Lol
train	ham	staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
train	ham	Dear how you. Are you ok?
validation	spam	Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
test	ham	Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8
validation	ham	Yup ok...
train	spam	No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
train	ham	Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
train	spam	Auction round 4. The highest bid is now 54. Next maximum bid is 71. To bid, send BIDS e. g. 10 (to bid 10) to 83383. Good luck.
test	ham	Are you at work right now ?
validation	spam	83039 62735=450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
train	spam	GENT! We are trying to contact you. Last weekends draw shows that you won a 1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
train	spam	RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
train	ham	Happy new year. Hope you are having a good semester
train	spam	Ur balance is now 500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
train	spam	Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
train	spam	Todays Voda numbers ending 1225 are selected to receive a 50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
train	spam	Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
train	ham	Watching tv lor...
train	ham	No management puzzeles.
train	spam	Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
train	spam	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or 1000. To claim txt DIS to 87121 18+6*1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
train	ham	Yo do you know anyone &lt;#&gt; or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
test	ham	Yay can't wait to party together!
train	spam	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
train	spam	Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or 10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+
test	spam	PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
train	spam	Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
test	spam	You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm
train	ham	It should take about &lt;#&gt; min
train	ham	I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
train	spam	important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
test	ham	They did't play one day last year know even though they have very good team.. Like india.
train	spam	WINNER! As a valued network customer you hvae been selected to receive a 900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
validation	ham	He says hi and to get your ass back to south tampa (preferably at a kegger)
train	ham	S now only i took tablets . Reaction morning only.
test	spam	Moby Pub Quiz.Win a 100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP 1.50 008704050406 SP Arrow
train	spam	WIN a 200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 1.50perweeksub.
train	spam	WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
validation	spam	Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp 1.50/msg
train	ham	Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
train	spam	Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
validation	spam	U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription
train	ham	Change again... It's e one next to escalator...
train	spam	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
train	spam	U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
train	ham	Ok i msg u b4 i leave my house.
train	ham	After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
train	ham	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
train	spam	You have an important customer service announcement from PREMIER.
test	ham	Long after I quit. I get on only like 5 minutes a day as it is.
test	ham	Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
train	ham	have * good weekend.
train	spam	Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
test	spam	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
validation	ham	You bad girl. I can still remember them
train	spam	IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
test	spam	Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
train	spam	YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a 500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+
train	spam	Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
train	ham	The message sent is askin for &lt;#&gt; dollars. Shoul i pay &lt;#&gt; or &lt;#&gt; ?
train	ham	Oh ic. I thought you meant mary jane.
train	spam	Last chance 2 claim ur 150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. 3.00 Sub. 16 . Remove txt X or STOP
train	ham	Oh dang! I didn't mean o send that to you! Lol!
train	spam	Last Chance! Claim ur 150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. 3.00 Sub. 16
train	spam	FREE entry into our 250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
train	spam	URGENT! We are trying to contact U. Todays draw shows that you have won a 800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
train	spam	In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)
validation	ham	Then. You are eldest know.
validation	spam	Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play 250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
validation	spam	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
test	spam	Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
validation	spam	Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)
validation	ham	Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...
train	ham	We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.
train	ham	Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
test	ham	I havent lei.. Next mon can?
train	ham	Just making dinner, you ?
train	spam	YOU VE WON! Your 4* Costa Del Sol Holiday or 5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost1.50/pm, Max10mins
train	ham	Dunno lei... I thk mum lazy to go out... I neva ask her yet...
train	ham	Man this bus is so so so slow. I think you're gonna get there before me
train	ham	Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
train	ham	Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.
train	spam	PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
train	ham	"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
train	ham	Sday only joined.so training we started today:)
validation	ham	Me fine..absolutly fine
train	ham	You do got a shitload of diamonds though
train	ham	Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
train	spam	Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call
train	ham	You are a very very very very bad girl. Or lady.
train	ham	"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
train	spam	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
test	spam	FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply
train	spam	This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only 1.50/week. SavaMob - offers mobile!
train	spam	Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
train	ham	i am seeking a lady in the street and a freak in the sheets. Is that you?
train	spam	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114
test	ham	Oh god i am happy to see your message after 3 days
test	ham	Total video converter free download type this in google search:)
test	ham	May b approve panalam...but it should have more posts..
test	ham	I don't think he has spatula hands!
validation	ham	What Today-sunday..sunday is holiday..so no work..
train	ham	I wil be there with in &lt;#&gt; minutes. Got any space
train	spam	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. 1.50 SP:Tyrone
test	spam	I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
train	spam	449050000301 You have won a 2,000 price! To claim, call 09050000301.
test	spam	FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
train	spam	u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020
train	spam	Latest News! Police station toilet stolen, cops have nothing to go on!
test	spam	Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text
train	spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
test	ham	No i am not having not any movies in my laptop
train	ham	Yup n her fren lor. I'm meeting my fren at 730.
validation	ham	Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...
validation	ham	Ok
train	spam	WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
train	spam	For ur chance to win 250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.
train	spam	Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX
train	spam	I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec 1.50ea. OTBox 731 LA1 7WS. )
train	ham	Where at were hungry too
